Description,,Summary Amt.
Beginning balance as of 01/01/2026,,"8,751.14"
Total credits,,"26,848.22"
Total debits,,"-25,472.34"
Ending balance as of 05/31/2026,,"10,127.02"

Date,Description,Amount,Running Bal.
01/01/2026,Beginning balance as of 01/01/2026,,"8,751.14"
01/02/2026,"CHUZE FIT DES:CLUB FEES ID:2536500694273 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-19.99","8,731.15"
01/05/2026,"VENMO DES:PAYMENT ID:1047337430563 INDN:TIN NGUYEN CO ID:3264681992 WEB","-269.64","8,461.51"
01/14/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-521.91","7,939.60"
01/15/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","8,539.60"
01/21/2026,"Zelle payment from NAM HAU for "Thanks em"; Conf# gn8hhycy0","85.22","8,624.82"
01/22/2026,"Mobile Banking payment to CRD 8030 Confirmation# s7p00csv7","-868.70","7,756.12"
01/27/2026,"Zelle payment to Huy Tran Conf# pwavcm9yt","-361.00","7,395.12"
01/29/2026,"VENMO DES:PAYMENT ID:1047896859835 INDN:TIN NGUYEN CO ID:3264681992 WEB","-900.00","6,495.12"
01/30/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","7,095.12"
02/02/2026,"CHUZE FIT DES:CLUB FEES ID:2603000662709 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-19.99","7,075.13"
02/03/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","7,675.13"
02/04/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-349.25","7,325.88"
02/05/2026,"VENMO DES:PAYMENT ID:1048060373687 INDN:TIN NGUYEN CO ID:3264681992 WEB","-52.20","7,273.68"
02/06/2026,"Zelle payment from DAN DAILY LLC Conf# 99c4o47b4","5,000.00","12,273.68"
02/09/2026,"Zelle payment from TUAN BUI Conf# vzuqqjllx","1,000.00","13,273.68"
02/13/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","13,873.68"
02/18/2026,"CHUZE FIT DES:CLUB FEES ID:2604800144374 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-54.99","13,818.69"
02/23/2026,"APPLECARD GSBANK DES:PAYMENT ID:2070517 INDN:Tin Nguyen CO ID:9999999999 WEB","-144.13","13,674.56"
02/23/2026,"PAYPAL DES:INST XFER ID:STARBUCKS INDN:TIN NGUYEN CO ID:PAYPALSI77 WEB","-21.15","13,653.41"
02/24/2026,"Zelle payment to KEVIN OLMOS Conf# f8w2eaijm","-600.00","13,053.41"
02/27/2026,"FPT USA CORP DES:PAYROLL ID:0NU66 15841BOA2 INDN:NGUYEN, TIN CO ID:1260302465 PPD","600.00","13,653.41"
02/27/2026,"Mobile Banking payment to CRD 8030 Confirmation# 13k2zwq3g","-863.60","12,789.81"
03/02/2026,"CHUZE FIT DES:CLUB FEES ID:2605800963311 INDN:Tin Nguyen CO ID:1710602737 PPD PMT INFO:657-549-8988","-19.99","12,769.82"
