Account Number,Transaction Description,Transaction Date,Transaction Type,Transaction Amount,Balance
0628,Zelle money sent to KIET LE,06/06/26,Debit,29,14766.87
0628,Zelle money sent to KIET LE,06/06/26,Debit,18,14795.87
0628,Zelle money sent to VINCE PHAM,06/06/26,Debit,36,14813.87
0628,Zelle money sent to HUY NHAT LUONG,06/05/26,Debit,7,14849.87
0628,Withdrawal from CHASE CREDIT CRD EPAY,06/05/26,Debit,3500,14856.87
0628,Zelle money sent to HUY NHAT LUONG,06/05/26,Debit,50,18356.87
0628,Withdrawal from CAPITAL ONE MOBILE PMT,06/04/26,Debit,22.13,18406.87
0628,Zelle money received from HIEU THANH LE,06/03/26,Credit,7,18429
0628,Zelle money received from HUY N LUONG,06/03/26,Credit,7,18422
0628,Zelle money received from PHAN NGUYEN,06/03/26,Credit,7,18415
0628,Zelle money received from HA GIA HY TRAN,06/02/26,Credit,24,18408
0628,Zelle money received from VINCE PHAM,06/02/26,Credit,16,18384
0628,Zelle money received from HIEU THANH LE,06/02/26,Credit,8,18368
0628,Zelle money received from THAO GIA,06/02/26,Credit,8,18360
0628,Zelle money received from PHAN NGUYEN,06/02/26,Credit,8,18352
0628,Zelle money received from KIET TUAN LE,06/02/26,Credit,8,18344
0628,Monthly Interest Paid,05/31/26,Credit,1.28,18336
0628,Zelle money received from PHAN NGUYEN,05/30/26,Credit,34,18334.72
0628,Zelle money received from KIET TUAN LE,05/30/26,Credit,23,18300.72
0628,Zelle money received from THAO GIA,05/30/26,Credit,6,18277.72
0628,Zelle money received from KIET TUAN LE,05/30/26,Credit,6,18271.72
0628,Zelle money sent to HUY NHAT LUONG,05/30/26,Debit,56,18265.72
0628,Zelle money received from DANG NGUYEN,05/30/26,Credit,6,18321.72
0628,Deposit from FPT USA CORP PAYROLL,05/28/26,Credit,500,18315.72
0628,Zelle money sent to HUY NHAT LUONG,05/28/26,Debit,6,17815.72
0628,Zelle money received from HUY TRAN,05/26/26,Credit,1900,17821.72
0628,Zelle money received from PHAN NGUYEN,05/25/26,Credit,7,15921.72
0628,Zelle money sent to DANG NGUYEN,05/25/26,Debit,53,15914.72
0628,Zelle money received from TUAN NGUYEN,05/25/26,Credit,7,15967.72
0628,Zelle money returned from loslectorcollectibles@gmail.com,05/24/26,Credit,1800,15960.72
0628,Zelle money sent to LOS LECTOR COLLECTIBLES LLC,05/24/26,Debit,1800,14160.72
0628,Zelle money received from PHONG NGUYEN,05/23/26,Credit,360,15960.72
0628,Zelle money received from PHONG NGUYEN,05/21/26,Credit,2000,15600.72
0628,Zelle money sent to QUANG NGUYEN,05/20/26,Debit,8,13600.72
0628,Zelle money sent to QUANG NGUYEN,05/19/26,Debit,8,13608.72
0628,Zelle money received from HUY TRAN,05/18/26,Credit,360,13616.72
0628,Zelle money sent to Hoai Vinh Thuy Nhan,05/17/26,Debit,20,13256.72
0628,Deposit from QUICK CONS 7656 CONS PAY,05/14/26,Credit,572.22,13276.72
0628,Deposit from FPT USA CORP PAYROLL,05/14/26,Credit,500,12704.5
0628,Zelle money received from KIET TUAN LE,05/13/26,Credit,6,12204.5
0628,Zelle money received from DANG NGUYEN,05/12/26,Credit,6,12198.5
0628,Zelle money received from PHAN NGUYEN,05/12/26,Credit,6,12192.5
0628,Zelle money received from TUAN NGUYEN,05/12/26,Credit,6,12186.5
0628,Zelle money received from HIEU THANH LE,05/11/26,Credit,9,12180.5
0628,Zelle money received from DANG NGUYEN,05/11/26,Credit,9,12171.5
0628,Zelle money received from PHAN NGUYEN,05/11/26,Credit,9,12162.5
0628,Withdrawal from WISE US INC WISE,05/11/26,Debit,1001.7,12153.5
0628,Zelle money received from HUY N LUONG,05/09/26,Credit,5,13155.2
0628,Zelle money sent to KIET LE,05/09/26,Debit,25,13150.2
0628,Zelle money received from DANG NGUYEN,05/09/26,Credit,5,13175.2
0628,Zelle money received from ANDREW VO,05/09/26,Credit,5,13170.2
0628,Zelle money received from PHAN NGUYEN,05/09/26,Credit,5,13165.2
0628,Zelle money sent to HUY NHAT LUONG,05/09/26,Debit,56,13160.2
0628,Zelle money received from PHAN NGUYEN,05/08/26,Credit,6,13216.2
0628,Zelle money received from KIET TUAN LE,05/08/26,Credit,6,13210.2
0628,Zelle money received from DANG NGUYEN,05/08/26,Credit,6,13204.2
0628,Zelle money received from ANDREW VO,05/08/26,Credit,6,13198.2
0628,Zelle money received from HUY N LUONG,05/07/26,Credit,21,13192.2
0628,Zelle money received from HIEU THANH LE,05/07/26,Credit,7,13171.2
0628,Deposit from QUICK CONS 7656 CONS PAY,05/07/26,Credit,755.33,13164.2
0628,Zelle money received from ANDREW VO,05/07/26,Credit,7,12408.87
0628,Zelle money received from TUAN NGUYEN,05/07/26,Credit,7,12401.87
0628,Zelle money received from DANG NGUYEN,05/07/26,Credit,7,12394.87
0628,Zelle money received from KIET TUAN LE,05/07/26,Credit,7,12387.87
0628,Zelle money received from PHAN NGUYEN,05/07/26,Credit,7,12380.87
0628,Zelle money sent to DANG NGUYEN,05/07/26,Debit,51,12373.87
0628,Zelle money received from DANG NGUYEN,05/05/26,Credit,10,12424.87
0628,Zelle money received from TUAN NGUYEN,05/05/26,Credit,10,12414.87
0628,Zelle money received from PHAN NGUYEN,05/05/26,Credit,10,12404.87
0628,Zelle money received from HIEU THANH LE,05/05/26,Credit,15,12394.87
0628,Zelle money received from KIET TUAN LE,05/05/26,Credit,73,12379.87
0628,Zelle money received from CHRISTOPHER SINH,05/04/26,Credit,50,12306.87
0628,Withdrawal from CAPITAL ONE MOBILE PMT,05/04/26,Debit,7000,12256.87
0628,Zelle money received from PHAN NGUYEN,05/02/26,Credit,24,19256.87
0628,Zelle money sent to HUY NHAT LUONG,05/02/26,Debit,63,19232.87
0628,Monthly Interest Paid,04/30/26,Credit,1.14,19295.87
0628,Deposit from QUICK CONS 7656 CONS PAY,04/30/26,Credit,5199.59,19294.73
0628,Zelle money received from DANG NGUYEN,04/30/26,Credit,6,14095.14
0628,Zelle money received from PHAN NGUYEN,04/30/26,Credit,6,14089.14
0628,Deposit from FPT USA CORP PAYROLL,04/29/26,Credit,500,14083.14
0628,Zelle money received from HIEU THANH LE,04/29/26,Credit,10,13583.14
0628,Zelle money received from PHAN NGUYEN,04/29/26,Credit,12,13573.14
0628,Zelle money sent to DANG NGUYEN,04/29/26,Debit,6,13561.14
0628,Withdrawal from CAPITAL ONE MOBILE PMT,04/28/26,Debit,3000,13567.14
0628,Withdrawal from CAPITAL ONE MOBILE PMT,04/28/26,Debit,143.84,16567.14
0628,Zelle money received from ANDREW VO,04/28/26,Credit,5,16710.98
0628,Zelle money received from HIEU THANH LE,04/28/26,Credit,5,16705.98
0628,Zelle money received from DANG NGUYEN,04/28/26,Credit,5,16700.98
0628,Zelle money received from KIET TUAN LE,04/28/26,Credit,5,16695.98
0628,Zelle money received from TUAN NGUYEN,04/28/26,Credit,5,16690.98
0628,Zelle money received from PHAN NGUYEN,04/28/26,Credit,6,16685.98
0628,Zelle money received from PHONG NGUYEN,04/27/26,Credit,3500,16679.98
0628,Zelle money received from ANDREW VO,04/25/26,Credit,5,13179.98
0628,Zelle money received from DANG NGUYEN,04/25/26,Credit,10,13174.98
0628,Zelle money received from TUAN NGUYEN,04/25/26,Credit,5,13164.98
0628,Zelle money received from KIET TUAN LE,04/25/26,Credit,5,13159.98
0628,Zelle money received from PHAN NGUYEN,04/25/26,Credit,5,13154.98
0628,Withdrawal from CAPITAL ONE MOBILE PMT,04/23/26,Debit,4200,13149.98
0628,Deposit from QUICK CONS 7656 CONS PAY,04/23/26,Credit,4460.85,17349.98
0628,Zelle money sent to HUY DOAN,04/23/26,Debit,30,12889.13
0628,Zelle money received from DANG NGUYEN,04/23/26,Credit,9,12919.13
0628,Zelle money received from PHAN NGUYEN,04/23/26,Credit,9,12910.13
0628,Zelle money received from HUY NHAT LUONG,04/23/26,Credit,9,12901.13
0628,Zelle money received from DANG NGUYEN,04/22/26,Credit,5,12892.13
0628,Zelle money received from KIET TUAN LE,04/22/26,Credit,5,12887.13
0628,Zelle money received from PHAN NGUYEN,04/22/26,Credit,5,12882.13
0628,Zelle money received from HUY N LUONG,04/22/26,Credit,5,12877.13
0628,Zelle money received from DANG NGUYEN,04/18/26,Credit,18,12872.13
0628,Zelle money received from KIET TUAN LE,04/18/26,Credit,18,12854.13
0628,Zelle money sent to HUY NHAT LUONG,04/18/26,Debit,4.5,12836.13
0628,Zelle money sent to HUY NHAT LUONG,04/17/26,Debit,4.5,12840.63
0628,Zelle money received from PHAN NGUYEN,04/16/26,Credit,9,12845.13
0628,Zelle money received from KIET TUAN LE,04/16/26,Credit,17.5,12836.13
0628,Withdrawal from CHASE CREDIT CRD EPAY,04/15/26,Debit,195,12818.63
0628,Zelle money received from ANUSARN SANGNIMNUAN,04/14/26,Credit,500,13013.63
0628,Deposit from FPT USA CORP PAYROLL,04/14/26,Credit,500,12513.63
0628,Zelle money sent to HUY NHAT LUONG,04/13/26,Debit,18,12013.63
0628,Zelle money received from PHAN NGUYEN,04/13/26,Credit,9,12031.63
0628,Zelle money sent to DANG NGUYEN,04/12/26,Debit,34,12022.63
0628,Zelle money sent to QUANG NGUYEN,04/12/26,Debit,24,12056.63
0628,Zelle money received from KIET TUAN LE,04/11/26,Credit,6,12080.63
0628,Zelle money received from QUANG NGUYEN,04/11/26,Credit,12,12074.63
0628,Zelle money received from PHAN NGUYEN,04/10/26,Credit,9,12062.63
0628,Zelle money received from DANG NGUYEN,04/10/26,Credit,9,12053.63
0628,Zelle money received from HUY N LUONG,04/10/26,Credit,9,12044.63
0628,Withdrawal from CAPITAL ONE MOBILE PMT,04/09/26,Debit,4824.84,12035.63
0628,Zelle money received from DANG NGUYEN,04/09/26,Credit,12,16860.47
0628,Zelle money received from ANDREW VO,04/09/26,Credit,6,16848.47
0628,Zelle money received from PHAN NGUYEN,04/09/26,Credit,6,16842.47
0628,Zelle money received from KIET TUAN LE,04/09/26,Credit,6,16836.47
0628,Zelle money received from HUY TRAN,04/08/26,Credit,1293,16830.47
0628,Zelle money received from HUY N LUONG,04/07/26,Credit,10,15537.47
0628,Zelle money received from PHAN NGUYEN,04/07/26,Credit,10,15527.47
0628,Zelle money received from KIET TUAN LE,04/07/26,Credit,5,15517.47
0628,Zelle money received from DANG NGUYEN,04/02/26,Credit,10,15512.47
0628,Monthly Interest Paid,03/31/26,Credit,1.52,15502.47
0628,Withdrawal from WISE US INC WISE,03/31/26,Debit,233.4,15500.95
0628,Zelle money received from DANG NGUYEN,03/30/26,Credit,200,15734.35
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/30/26,Debit,3288.16,15534.35
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/30/26,Debit,104.67,18822.51
0628,Deposit from FPT USA CORP PAYROLL,03/30/26,Credit,500,18927.18
0628,Zelle money sent to HUY NHAT LUONG,03/30/26,Debit,20,18427.18
0628,Zelle money sent to KIET LE,03/30/26,Debit,5,18447.18
0628,Zelle money received from PHONG NGUYEN,03/27/26,Credit,850,18452.18
0628,Deposit from QUICK CONS 7656 CONS PAY,03/26/26,Credit,914.4,17602.18
0628,Zelle money received from ANUSARN SANGNIMNUAN,03/24/26,Credit,940,16687.78
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/19/26,Debit,3568.8,15747.78
0628,Deposit from QUICK CONS 7656 CONS PAY,03/19/26,Credit,752.48,19316.58
0628,Zelle money sent to KIET LE,03/17/26,Debit,24,18564.1
0628,Withdrawal from Wise Inc WISE,03/16/26,Debit,500.85,18588.1
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/13/26,Debit,4867.9,19088.95
0628,Deposit from QUICK CONS 7656 CONS PAY,03/12/26,Credit,4486.81,23956.85
0628,Deposit from FPT USA CORP PAYROLL,03/12/26,Credit,500,19470.04
0628,Zelle money received from PHONG NGUYEN,03/08/26,Credit,2075,18970.04
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/06/26,Debit,5000,16895.04
0628,Zelle money received from PHONG NGUYEN,03/05/26,Credit,2500,21895.04
0628,Deposit from QUICK CONS 7656 CONS PAY,03/05/26,Credit,1992.37,19395.04
0628,Withdrawal from CAPITAL ONE MOBILE PMT,03/02/26,Debit,404.48,17402.67
0628,Monthly Interest Paid,02/28/26,Credit,1.69,17807.15
0628,Withdrawal from CAPITAL ONE MOBILE PMT,02/27/26,Debit,4918.71,17805.46
0628,Zelle money received from ANUSARN SANGNIMNUAN,02/26/26,Credit,200,22724.17
0628,Deposit from QUICK CONS 7656 CONS PAY,02/26/26,Credit,728.01,22524.17
